Player,Team,Position,Age,Salary,KoH Team,GP,G,A,PIM,SOG,GWG,PPP,SHP,Hit,Blk,FOW
Marius Holtet,(N/A),RW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alexander Holtz,NJD,RW,19,925000,TB,0,0,0,0,0,0,0,0,0,0,0
Patrick Holway,DET,D,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Adam Holwell,(N/A),D,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Riley Holzapfel,ANA,C,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Korbinian Holzer,(N/A),D,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Anttoni Honka,CAR,D,20,500000,CLS,0,0,0,0,0,0,0,0,0,0,0
Julius Honka,DAL,D,25,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Waltteri Hopponen,(N/A),LW,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Frank Hora,BUF,D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Roman Horak,(N/A),LW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Darcy Hordichuk,(N/A),LW,40,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jake Horton,FLA,C,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ryan Horvat,CAR,LW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Marcel Hossa,(N/A),LW,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tyler Hostetter,(N/A),D,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jackson Houck,(N/A),RW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Samuel Houde,MTL,C,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tanner House,(N/A),RW,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Isaac Howard,(N/A),LW,17,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kale Howarth,CBJ,LW,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Quinton Howden,(N/A),C,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Keeghan Howdeshell,(N/A),LW,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ryan Howse,CGY,RW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Josef Hrabal,(N/A),D,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Raman Hrabarenka,(N/A),D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Krystof Hrabik,(N/A),C,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Zbynek Hrdel,(N/A),RW,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Patrik Hrehorcak,(N/A),LW,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Aidan Hreschuk,CAR,D,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Marek Hrivik,(N/A),C,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Petr Hubacek,(N/A),C,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mario Huber,(N/A),RW,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cole Huckins,CGY,C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jiri Hudler,(N/A),LW,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Charles Hudon,MTL,LW,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Philippe Hudon,DET,C,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alex Hudson,(N/A),RW,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Carl Hudson,FLA,D,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Rickard Hugg,(N/A),C,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Bear Hughes,WSH,C,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Bobby Hughes,NYI,C,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cameron Hughes,BOS,C,24,842500,FA,1,0,0,0,3,0,0,0,2,1,5
Jack Hughes,(N/A),LW,17,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Luke Hughes,NJD,D,17,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Riley Hughes,NYR,RW,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tommy Hughes,WSH,D,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Adam Hughesman,(N/A),LW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Aaron Huglen,BUF,RW,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Derek Hulak,PHI,LW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cole Hults,ARI,D,23,925000,FA,0,0,0,0,0,0,0,0,0,0,0
Mitch Hults,CGY,C,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Linus Hultstrom,(N/A),D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Spencer Humphries,(N/A),D,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Daemon Hunt,MIN,D,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jamie Hunt,(N/A),D,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dylan Hunter,(N/A),LW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Trent Hunter,(N/A),RW,41,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jimmy Huntington,TBL,C,22,792500,FA,0,0,0,0,0,0,0,0,0,0,0
Matt Hunwick,(N/A),D,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Connor Hurley,BUF,C,25,500000,SK,0,0,0,0,0,0,0,0,0,0,0
Viktor Hurtig,NJD,D,19,500000,W (Mon),0,0,0,0,0,0,0,0,0,0,0
Kent Huskins,VAN,D,42,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matt Hussey,COL,C,42,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alex Hutchings,(N/A),LW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Andrew Hutchinson,(N/A),D,41,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Logan Hutsko,FLA,RW,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Grant Hutton,NYI,D,26,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Niko Huuhtanen,(N/A),RW,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Adam Huxley,EDM,LW,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tomas Hyka,(N/A),RW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Aaron Hyman,CGY,D,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Shane Hynes,(N/A),RW,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matheson Iacopelli,(N/A),RW,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Max Iafrate,(N/A),D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Timur Ibragimov,SJS,LW,20,780000,FA,0,0,0,0,0,0,0,0,0,0,0
Mike Iggulden,(N/A),C,38,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brian Ihnacak,(N/A),C,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Henri Ikonen,(N/A),LW,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Joni Ikonen,MTL,C,22,500000,BOS,0,0,0,0,0,0,0,0,0,0,0
Juuso Ikonen,(N/A),RW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Radoslav Illo,ANA,C,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Boko Imama,ARI,LW,24,735000,FA,0,0,0,0,0,0,0,0,0,0,0
Jarkko Immonen,(N/A),C,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tyler Inamoto,FLA,D,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Miks Indrasis,(N/A),LW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jere Innala,(N/A),LW,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Vincent Iorio,WSH,D,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Danny Irmen,(N/A),C,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Aaron Irving,VAN,D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brayden Irwin,TOR,C,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Christian Isackson,BUF,RW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ruslan Iskhakov,NYI,C,21,500000,PHI,0,0,0,0,0,0,0,0,0,0,0
Kenta Isogai,(N/A),LW,16,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Michal Ivan,(N/A),D,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Raitis Ivanans,(N/A),LW,42,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Georgi Ivanov,(N/A),C,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Artyom Ivanyuzhenkov,SJS,LW,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Keegan Iverson,LAK,C,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Greg Jacina,FLA,C,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dallas Jackson,(N/A),D,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jacob Jackson,SJS,C,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Robby Jackson,STL,C,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Scott Jackson,(N/A),D,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ty Jackson,(N/A),C,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Colin Jacobs,(N/A),C,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Josh Jacobs,NJD,D,25,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Theo Jacobsson,SJS,C,18,500000,W (Mon),0,0,0,0,0,0,0,0,0,0,0
Jack Jacome,(N/A),LW,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jean-Francois Jacques,(N/A),LW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jason Jaffray,WPG,LW,40,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tanner Jago,(N/A),D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jaromir Jagr,(N/A),RW,49,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Carl Jakobsson,(N/A),LW,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Connor James,(N/A),LW,38,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Maxwell James,ARI,LW,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Aiden Jamieson,(N/A),D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Aatu Jamsen,LAK,RW,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Andreas Jamtin,NYR,RW,38,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dan Jancevski,(N/A),D,40,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Justin Janicke,(N/A),LW,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Trevor Janicke,ANA,C,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
David Jankowski,(N/A),LW,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Adam Janosik,TBL,D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cam Janssen,(N/A),RW,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Sam Jardine,TOR,D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Christian Jaros,SJS,D,25,750000,FA,7,0,1,2,3,0,0,0,9,8,0
Patrick Jarrett,LAK,C,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Roby Jarventie,OTT,LW,18,925000,ANH,0,0,0,0,0,0,0,0,0,0,0
Joonas Jarvinen,(N/A),D,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Seth Jarvis,CAR,C,19,925000,PHI,0,0,0,0,0,0,0,0,0,0,0
Lukas Jasek,VAN,RW,23,925000,FA,0,0,0,0,0,0,0,0,0,0,0
Dmitrij Jaskin,WSH,LW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kyle Jean,(N/A),LW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alex Jefferies,NYI,LW,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dustin Jeffrey,(N/A),C,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ziga Jeglic,(N/A),LW,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Oskar Jellvik,BOS,C,18,500000,W (Mon),0,0,0,0,0,0,0,0,0,0,0
Blade Jenkins,NYI,LW,20,770000,FA,0,0,0,0,0,0,0,0,0,0,0
Kyle Jenkins,CAR,D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
A.J. Jenks,(N/A),LW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nick Jenny,(N/A),D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jack Jensen,(N/A),LW,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Joe Jensen,(N/A),C,38,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Niklas Jensen,(N/A),LW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Taro Jentzsch,(N/A),LW,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Pavel Jenys,(N/A),C,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jakub Jerabek,(N/A),D,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Hugh Jessiman,(N/A),RW,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nikita Jevpalovs,MTL,RW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jeff Jillson,(N/A),D,41,500000,FA,0,0,0,0,0,0,0,0,0,0,0
David Jiricek,(N/A),D,17,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Colton Jobke,(N/A),D,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mason Jobst,NYI,C,27,792500,FA,0,0,0,0,0,0,0,0,0,0,0
Jesse Joensuu,(N/A),LW,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Anton Johannesson,WPG,D,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Samuel Johannesson,CBJ,D,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Lucas Johansen,WSH,D,23,700000,SK,0,0,0,0,0,0,0,0,0,0,0
Albert Johansson,DET,D,20,792500,FA,0,0,0,0,0,0,0,0,0,0,0
Emil Johansson,BOS,D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Emil Johansson,(N/A),C,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Filip Johansson,MIN,D,21,500000,PHI,0,0,0,0,0,0,0,0,0,0,0
Fredrik Johansson,(N/A),C,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jonas Johansson,(N/A),RW,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jonathan Johansson,(N/A),C,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mikael Johansson,(N/A),C,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Oliver Johansson,OTT,C,18,500000,W (Mon),0,0,0,0,0,0,0,0,0,0,0
Simon Johansson,MIN,D,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dustin Johner,(N/A),C,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Aaron Johnson,CGY,D,38,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Adam Johnson,PIT,C,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ben Johnson,(N/A),C,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brent Johnson,WSH,D,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Erik Johnson,COL,D,33,6000000,FA,4,0,1,2,5,0,0,0,7,5,0
Isaac Johnson,DET,LW,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jamie Johnson,WSH,C,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Justin Johnson,(N/A),RW,40,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kent Johnson,CBJ,C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Max Johnson,(N/A),C,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nick Johnson,(N/A),RW,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Reese Johnson,CHI,C,23,925000,FA,5,0,0,9,4,0,0,0,22,2,0
Ryan Johnson,BUF,D,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Steven Johnson,PHI,D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Wyatt Johnson,(N/A),C,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Andrew Johnston,(N/A),LW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ross Johnston,NYI,LW,27,1000000,FA,12,0,1,35,5,0,0,0,43,6,1
Ryan Johnston,TOR,D,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Stephen Johnston,DET,LW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Wyatt Johnston,DAL,C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mikko Jokela,(N/A),D,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jussi Jokinen,DET,LW,38,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Justin Jokinen,BUF,RW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jyrki Jokipakka,WSH,D,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
D'Artagnan Joly,CGY,RW,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Michael Joly,COL,RW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Benjamin Jones,VGK,C,22,765000,FA,0,0,0,0,0,0,0,0,0,0,0
Blair Jones,(N/A),C,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Caleb Jones,CHI,D,24,800000,FA,33,0,4,6,23,0,0,0,27,35,0
Connor Jones,NYI,C,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
David Jones,(N/A),RW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kellen Jones,(N/A),LW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matt Jones,(N/A),D,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matt Jones,(N/A),RW,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nick Jones,NYR,C,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nick Jones,SJS,D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Randy Jones,(N/A),D,40,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ryan Jones,EDM,LW,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ryan Jones,PIT,D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Zachary Jones,NYR,D,20,500000,FA,10,0,4,2,12,0,1,0,8,8,0
Lars Jonsson,(N/A),D,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Axel Jonsson-Fjallby,WSH,LW,23,915000,FA,0,0,0,0,0,0,0,0,0,0,0
Josh Jooris,(N/A),C,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cole Jordan,CGY,D,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Michal Jordan,CAR,D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mauro Jorg,NJD,RW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jacob Josefson,(N/A),C,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Shane Joseph,SJS,RW,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Troy Josephs,PIT,LW,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Derek Joslin,(N/A),D,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Sean Josling,DET,RW,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Andrew Joudrey,CBJ,C,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ed Jovanovski,FLA,D,45,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Grant Jozefek,(N/A),RW,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Eric Juhlin,(N/A),LW,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jonas Junland,(N/A),D,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Julius Junttila,(N/A),LW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Milan Jurcina,(N/A),D,38,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tomas Jurco,VGK,LW,28,700000,FA,8,0,1,0,11,0,0,0,4,2,0
Joni Jurmo,VAN,D,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jon Jutzi,TOR,D,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Noah Juulsen,FLA,D,24,700000,ANH,4,0,0,0,5,0,0,0,9,4,0
Viljami Juusola,(N/A),D,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kirill Kabanov,(N/A),LW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tomas Kaberle,(N/A),D,43,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ondrej Kachyna,(N/A),D,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alexander Kadeykin,DET,C,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dmitri Kagarlitsky,(N/A),RW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Magnus Kahnberg,(N/A),C,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Rylan Kaip,(N/A),C,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Wyatt Kaiser,CHI,D,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Antti Kalapudas,(N/A),C,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dmitri Kalinin,(N/A),D,41,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Sergey Kalinin,(N/A),C,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jon Kalinski,TBL,C,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Marcus Kallionkieli,VGK,LW,20,777500,FA,0,0,0,0,0,0,0,0,0,0,0
Petr Kalus,(N/A),LW,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Vladislav Kamenev,COL,C,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Maximilian Kammerer,WSH,C,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tomas Kana,(N/A),C,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cory Kane,(N/A),C,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Iikka Kangasniemi,(N/A),LW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Petr Kanko,(N/A),RW,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alex Kannok-Leipert,WSH,D,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kai Kantola,(N/A),C,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Michael Kantor,(N/A),RW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Keegan Kanzig,(N/A),D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Oliver Kapanen,MTL,C,17,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Michael Kapla,TOR,D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Vladislav Kara,TOR,LW,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Vaclav Karabacek,BUF,RW,25,722222,ANH,0,0,0,0,0,0,0,0,0,0,0
Jiri Karafiat,(N/A),RW,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Martin Kariya,(N/A),LW,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Miro Karjalainen,DAL,D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jarno Karki,(N/A),LW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Marcus Karlberg,CBJ,LW,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Anton Karlsson,CBJ,D,28,500000,COL,0,0,0,0,0,0,0,0,0,0,0
Erik Karlsson,(N/A),LW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Linus Karlsson,VAN,C,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ludwig Karlsson,(N/A),RW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mattias Karlsson,(N/A),D,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Melker Karlsson,(N/A),C,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Simon Karlsson,NSH,D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Fredrik Karlstrom,DAL,C,23,770000,FA,0,0,0,0,0,0,0,0,0,0,0
Marcus Karlstrom,WPG,D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Pavel Karnaukhov,CGY,LW,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Michael Karow,ARI,D,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Maxim Karpov,(N/A),RW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Roger Karrer,(N/A),D,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Martins Karsums,(N/A),RW,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jorgen Karterud,(N/A),LW,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
David Kase,PHI,LW,24,787500,FA,1,0,0,0,0,0,0,0,0,1,0
Ondrej Kase,BOS,RW,25,2600000,FA,3,0,0,0,4,0,0,0,1,1,0
Evgeni Kashnikov,SJS,D,18,500000,W (Mon),0,0,0,0,0,0,0,0,0,0,0
Oliwer Kaski,CAR,D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Olli Kaskinen,(N/A),D,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Lukas Kaspar,PHI,LW,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tanner Kaspick,STL,C,23,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Matt Kassian,(N/A),LW,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mark Kastelic,OTT,C,22,805000,FA,0,0,0,0,0,0,0,0,0,0,0
Boris Katchouk,TBL,LW,23,832500,CLS,0,0,0,0,0,0,0,0,0,0,0
Dmitri Katelevsky,(N/A),C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mark Katic,(N/A),D,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ray Kaunisto,(N/A),LW,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Martin Kaut,COL,RW,21,832500,COL,5,0,0,4,2,0,0,0,6,1,0
Jordan Kawaguchi,DAL,C,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Artur Kayumov,CHI,LW,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Maxim Kazakov,(N/A),LW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Justin Kea,(N/A),C,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Joey Keane,CAR,D,22,792500,FA,1,0,0,0,1,0,0,0,2,0,0
Austen Keating,(N/A),C,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Adam Keefe,(N/A),RW,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Sheldon Keefe,(N/A),RW,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mike Keenan,(N/A),D,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
