Player,Team,Position,Age,Salary,KoH Team,GP,G,A,PIM,SOG,GWG,PPP,SHP,Hit,Blk,FOW
Robby Fabbri,DET,LW,25,3100000,CHI,30,10,8,16,58,5,2,0,34,17,83
Warren Foegele,CAR,LW,25,2150000,CHI,53,10,10,20,91,1,0,0,60,12,18
Rocco Grimaldi,NSH,C,28,2000000,FA,40,10,3,4,62,2,0,1,20,9,0
Taylor Hall,BOS,LW,29,4500000,TB,53,10,23,26,136,1,8,0,34,15,7
Dougie Hamilton,CAR,D,28,6000000,SENS,55,10,32,35,180,2,18,1,52,64,0
Luke Kunin,NSH,C,23,2300000,FA,38,10,9,13,71,2,0,0,84,20,15
Adam Lowry,WPG,C,28,2500000,SK,52,10,14,13,80,3,2,1,161,30,361
Milan Lucic,CGY,LW,33,4000000,FA,56,10,13,46,74,0,2,0,139,12,9
Casey Mittelstadt,BUF,C,22,874125,PHI,41,10,12,10,61,2,6,2,9,12,216
Sean Monahan,CGY,C,26,6125000,MTL,50,10,18,10,98,5,9,0,49,18,340
Trevor Moore,LAK,C,26,800000,FA,56,10,13,18,88,0,2,2,38,10,3
Valeri Nichushkin,COL,RW,26,2800000,FA,55,10,11,4,98,4,1,1,65,28,1
Kyle Palmieri,NYI,RW,30,4250000,FA,51,10,11,20,115,2,6,1,62,12,8
Tanner Pearson,VAN,LW,28,2500000,MIN,51,10,8,26,110,2,3,1,54,28,6
Elias Pettersson,VAN,C,22,832500,COL,26,10,11,6,63,1,5,1,11,9,63
Victor Rask,MIN,C,28,4000000,FA,54,10,13,2,53,1,6,0,21,10,218
Zach Sanford,STL,LW,26,1500000,SENS,52,10,6,25,67,3,3,2,69,44,28
Nick Schmaltz,ARI,C,25,6000000,SK,52,10,22,16,105,1,7,0,15,25,230
Jason Spezza,TOR,C,38,750000,COL,54,10,20,6,81,2,5,0,26,10,275
Tomas Tatar,MTL,LW,30,4200000,MIN,50,10,20,8,82,1,8,0,63,20,12
Gabriel Vilardi,LAK,C,21,925000,SENS,54,10,13,6,65,3,4,0,18,19,291
Colin White,OTT,C,24,4000000,FA,45,10,8,16,69,0,4,0,58,18,170
Zachary Aston-Reese,PIT,C,26,1000000,FA,45,9,6,15,79,0,0,1,95,24,7
Mikael Backlund,CGY,C,32,5350000,TB,54,9,23,30,144,1,6,2,43,21,387
Pierre-Edouard Bellemare,COL,C,36,1450000,FA,53,9,2,21,60,0,0,0,26,36,260
Jonas Brodin,MIN,D,28,3500000,SENS,53,9,14,18,79,2,2,0,35,99,0
Alex Chiasson,EDM,RW,30,2150000,FA,45,9,7,33,65,1,7,0,40,7,2
Anthony Cirelli,TBL,C,24,4800000,MTL,50,9,13,10,75,3,4,2,64,32,227
Ross Colton,TBL,LW,24,700000,CHI,30,9,3,16,46,4,0,0,36,6,101
Max Domi,CBJ,C,26,6000000,FA,54,9,15,75,99,2,3,0,15,10,192
Pierre-Luc Dubois,WPG,C,23,6650000,SK,46,9,12,38,76,3,6,0,59,26,166
Mark Giordano,SEA,D,37,6750000,CLS,56,9,17,14,142,2,8,0,51,110,0
Shayne Gostisbehere,ARI,D,28,3250000,ANH,42,9,11,6,85,0,9,0,18,47,0
Brandon Hagel,CHI,LW,22,925000,FA,52,9,15,11,91,2,3,1,59,28,9
Erik Haula,NSH,C,30,1750000,FA,51,9,12,14,85,2,3,2,63,23,270
Victor Hedman,TBL,D,30,8000000,MIN,54,9,36,28,136,2,24,0,51,73,0
Dominik Kahun,EDM,LW,26,975000,COL,48,9,6,2,69,2,1,0,13,12,16
Kaapo Kakko,NYR,RW,20,925000,TB,48,9,8,10,81,0,3,0,14,16,3
Evgeny Kuznetsov,WSH,C,29,8000000,TB,41,9,20,18,78,4,8,0,21,18,204
Dylan Larkin,DET,C,24,6750000,SK,44,9,14,34,134,0,6,0,38,17,361
Scott Laughton,PHI,C,27,2250000,MIN,53,9,11,39,89,1,0,1,141,34,211
Alec Martinez,VGK,D,33,4000000,MTL,53,9,23,12,85,2,9,0,44,168,0
Michael McLeod,NJD,C,23,950000,MIN,52,9,6,42,60,2,0,0,89,20,326
Mathieu Perreault,WPG,LW,33,4000000,FA,56,9,10,16,57,0,4,0,84,18,5
Corey Perry,MTL,RW,36,750000,FA,49,9,12,39,62,1,7,0,56,15,0
Rickard Rakell,ANA,C,28,3800000,SENS,52,9,19,12,144,1,4,0,65,16,5
Dylan Strome,CHI,C,24,2400000,FA,40,9,8,14,71,1,7,0,8,19,198
Brandon Sutter,VAN,C,32,4500000,FA,43,9,3,2,65,0,0,2,18,28,276
Devon Toews,COL,D,27,3550000,VAN,53,9,22,16,121,2,6,0,44,87,0
Jakub Voracek,CBJ,RW,31,7500000,BOS,53,9,34,18,104,2,8,0,17,20,7
Jason Zucker,PIT,LW,29,6250000,FA,38,9,9,21,67,1,4,0,69,15,3
Josh Bailey,NYI,RW,31,5000000,ANH,54,8,27,4,77,1,9,0,13,19,14
Rudolfs Balcers,SJS,LW,24,1250000,BOS,41,8,9,16,66,2,1,0,81,29,0
Tyson Barrie,EDM,D,29,3750000,PHI,56,8,40,10,146,2,23,0,26,59,0
Sammy Blais,NYR,LW,25,1600000,MTL,36,8,7,12,31,2,0,0,103,10,3
Derick Brassard,ARI,C,33,1000000,FA,53,8,12,12,67,1,6,0,80,5,229
Filip Chytil,NYR,C,21,832500,VAN,42,8,14,10,76,0,0,0,15,19,130
Drew Doughty,LAK,D,31,10000000,FA,56,8,26,26,101,0,18,1,91,83,0
Ryan Dzingel,OTT,LW,29,3500000,FA,40,8,5,21,48,0,3,0,44,10,3
Lars Eller,WSH,C,32,2500000,FA,44,8,15,21,69,2,4,0,36,16,332
Miro Heiskanen,DAL,D,22,5000000,TB,55,8,19,12,121,1,11,0,47,52,0
Boone Jenner,CBJ,C,28,3500000,MTL,41,8,9,6,79,0,1,1,76,53,301
Tyler Johnson,TBL,C,30,5500000,SENS,55,8,14,16,77,1,3,0,63,15,170
Roman Josi,NSH,D,31,10750000,TB,48,8,25,20,141,3,14,1,27,83,0
Erik Karlsson,SJS,D,31,14500000,VAN,52,8,14,18,110,1,8,1,20,69,0
Alexander Kerfoot,TOR,C,26,3600000,FA,56,8,15,12,68,1,2,1,41,34,124
David Krejci,BOS,C,35,7000000,CHI,51,8,36,16,83,1,16,0,25,26,321
Janne Kuokkanen,NJD,C,23,800000,SENS,50,8,17,14,61,1,4,0,10,19,1
Philipp Kurashev,CHI,C,21,892500,MIN,54,8,8,12,65,1,5,0,32,18,102
Johan Larsson,ARI,C,29,1000000,FA,52,8,6,24,58,2,0,0,77,34,296
Oskar Lindblom,PHI,LW,24,2600000,LAK,50,8,6,9,58,1,0,0,43,24,3
Cale Makar,COL,D,22,8000000,LAK,44,8,36,12,104,3,22,0,49,36,0
Evgeni Malkin,PIT,C,34,9500000,VAN,33,8,20,24,72,0,9,0,18,12,152
Brock McGinn,CAR,LW,27,2300000,FA,37,8,5,6,58,1,0,1,44,12,3
Vladislav Namestnikov,DET,C,28,2500000,FA,53,8,9,24,87,0,0,0,71,35,135
Tomas Nosek,VGK,LW,28,1250000,FA,38,8,10,10,59,2,1,0,51,18,200
Dmitry Orlov,WSH,D,30,4500000,FA,51,8,14,20,83,2,2,0,87,50,0
Eric Robinson,CBJ,LW,26,975000,FA,56,8,10,4,75,2,0,1,94,16,3
Kevin Rooney,NYR,C,28,700000,FA,54,8,6,54,62,0,0,2,110,35,197
Jaden Schwartz,STL,LW,29,4000000,ANH,40,8,13,20,70,1,3,0,40,26,7
Jakob Silfverberg,ANA,RW,30,5250000,SENS,47,8,8,18,91,0,3,1,19,26,9
Colton Sissons,NSH,C,27,2500000,FA,54,8,7,18,58,0,0,2,74,27,319
Shea Theodore,VGK,D,25,5200000,VAN,53,8,34,14,161,0,15,0,22,43,0
Tage Thompson,BUF,RW,23,1200000,FA,38,8,6,17,96,0,3,0,25,8,2
Kailer Yamamoto,EDM,RW,22,832500,SK,52,8,13,26,69,0,2,1,52,40,0
Travis Zajac,NYI,C,36,5750000,FA,46,8,12,6,50,2,1,0,51,22,310
Jaret Anderson-Dolan,LAK,C,21,700000,MIN,34,7,4,6,37,2,1,0,52,20,132
Josh Archibald,EDM,RW,28,1500000,NSH,52,7,6,37,62,0,0,0,192,35,4
Joel Armia,MTL,RW,28,2400000,FA,41,7,7,10,73,0,1,2,86,13,6
Rasmus Asplund,BUF,C,23,925000,COL,28,7,4,0,34,2,0,0,15,3,6
Teddy Blueger,PIT,C,26,2000000,MIN,43,7,15,16,49,1,0,3,53,25,201
Jesper Bratt,NJD,LW,22,3450000,PHI,46,7,23,8,101,1,8,1,31,18,3
Brent Burns,SJS,D,36,7500000,NSH,56,7,22,36,138,1,6,1,31,94,0
Casey Cizikas,NYI,C,30,4000000,SENS,56,7,7,27,72,3,0,0,112,25,340
